target_path	expected_sha256	size	acquisition	source_path	source_repo	source_ref	source_blob_oid	source_commit
recovery/root/system/lib64/libspcom.so	76719aece71759673d414afb08463eb28e10507e3cbf3bb5e7e5927c6d27b50f	184560	public-tb322fc-git	recovery/root/vendor/lib64/libspcom.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	37f3f9829056ad771b519af98dc701f90e5990a2	ac809e192fc70c094b0f4d1c65f21c7d65d6f814
recovery/root/system/lib64/libspl.so	535351dc2ca4012d2592bcb2cc100cc8abfdeb2e77d4df4a935327815f489e84	51424	public-tb322fc-git	recovery/root/vendor/lib64/libspl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	6ac7878b1c2d9813bb73ecebb728deaada2e640b	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libspukeymint.so	6d36c4ab8f327a3432478c121539efe5192592e0deee8384f1e0372cdf417c86	273856	tb323fu-stock	/vendor/lib64/libspukeymint.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/libspukeymintdeviceutils.so	da24012d82fc6653b708ede25ecc04f91cb221dd36cebe820664d6d983b9bad0	84928	tb323fu-stock	/vendor/lib64/libspukeymintdeviceutils.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/libspukeymintprovision.so	e0cfc7afb0a811405cef41c0ec36722e9de9e4cbf7e46e7ac86afdb9e8b3f196	101320	tb323fu-stock	/vendor/lib64/libspukeymintprovision.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/libspukeymintutils.so	f690acea52ba60de0f00557532efce0e35112f065e3fc30428de975cb1ef8a7f	269640	tb323fu-stock	/vendor/lib64/libspukeymintutils.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/libspuprovisionids.so	45490745c537662859170103967260b4436d3769cb3212fe702b015b6e0c16f2	68376	tb323fu-stock	/vendor/lib64/libspuprovisionids.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/libspuqtigatekeeper.so	2e19f1bfde174db0cb3dce7fd403c2443a31dd9790ca675e97329cde4e46fba1	101912	tb323fu-stock	/vendor/lib64/hw/libspuqtigatekeeper.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/libssd.so	466067585f8f8bdb06a5b73581255ff2609656a4a87f63fb9b6a7ffa5fdc6bc5	51432	public-tb322fc-git	recovery/root/vendor/lib64/libssd.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	2ec1ba0893a332bddf038bf1ed59f26a8d91c42f	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libtaautoload.so	f9e7af4174b9f4814091843d9ab9d485783ef5cfa6e47d19ca077b0ebb6145c9	84968	public-tb322fc-git	recovery/root/vendor/lib64/libtaautoload.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	a46373c1c5fc7e4facc21e5b2da05fd1c37d3dde	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libtime_genoff.so	c3070f2f05cbf0ab2c00d61844b15ecae5e53319a9c89db579f8418d7cbb0893	51672	public-tb322fc-git	recovery/root/vendor/lib64/libtime_genoff.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	f57e282b9df9182443fd8232738ffa089c8796bb	5798af1c75dee871129c0980ae41e9b7f0df9d34
